#DASH Flow Data
#--------------------------------------------------------
#BMI DASH SN:   0
#BMI SEMS SN:   0
#--------------------------------------------------------
#DOY.Frac	YYYY	Secs	DO_Sh	DO_Smp	DO_Press	DO_Ht_T	DO_Ht_Pwr	DO_Fl_T	DO_X_T	HO_Sh_D_Fl	HO_Sh	HO_Smp	HO_Press	HO_RH	HO_T	HO_Ht_T	HO_Ht_Pwr	HO_Fl_T	HO_X_T	HO_DP_Cl	HO_DP_Lk	HM_Sh_D_Fl	HM_Sh	HM_Xs	HM_Smp_Xs	HM_Press	HM_RH	HM_T	HM_Ht_T	HM_Ht_Pwr	HM_Fl_T	HM_X_T	HM_DP_Cl	HM_DP_Lk	H2O_T	H2O_Pwr	H2O_Lvl	H2O_Cnt
 95.3874525	2024	0.4	0.61	0.057	651	40.1	160	21.3	-9.2	0.13	0.62	0.055	5529	82.6	20.7	40.2	0	20.8	-9.3	1	1	2.52	7.92	7.94	0.49	5475	80.1	20.7	40.5	0	21.4	-9.3	1	0	23.8	75	0	527426
 95.3874641	2024	1.4	0.61	0.054	651	40.1	160	21.3	-9.2	0.13	0.62	0.057	5527	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.53	7.92	7.93	0.49	5473	80.3	20.4	40.4	0	21.4	-9.3	1	0	23.8	16	0	527626
 95.3874757	2024	2.4	0.61	0.051	651	40.1	160	21.3	-9.2	0.13	0.62	0.060	5524	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.52	7.93	7.93	0.49	5473	80.3	20.5	40.4	0	21.4	-9.3	1	0	23.8	16	0	527826
 95.3874873	2024	3.4	0.62	0.051	651	40.1	160	21.3	-9.2	0.13	0.61	0.064	5522	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.52	7.91	7.93	0.49	5472	80.2	20.4	40.4	0	21.4	-9.3	1	0	23.8	16	0	528026
 95.3874988	2024	4.4	0.62	0.053	650	40.2	0	21.3	-9.2	0.13	0.61	0.067	5520	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.52	7.92	7.93	0.49	5470	80.1	20.5	40.4	0	21.4	-9.3	1	0	23.8	16	0	528226
 95.3875104	2024	5.4	0.62	0.057	650	40.2	0	21.3	-9.2	0.13	0.61	0.069	5518	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.91	7.93	0.49	5470	79.4	20.4	40.4	0	21.4	-9.3	1	0	23.8	16	0	528426
 95.3875220	2024	6.4	0.61	0.059	650	40.3	0	21.3	-9.2	0.12	0.60	0.069	5517	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.53	7.92	7.93	0.49	5468	78.9	20.5	40.4	0	21.4	-9.3	1	0	23.8	16	0	528626
 95.3875336	2024	7.4	0.61	0.060	650	40.4	0	21.3	-9.2	0.12	0.59	0.069	5517	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.91	7.93	0.49	5468	78.5	20.5	40.3	0	21.4	-9.3	1	0	23.8	16	0	528826
 95.3875451	2024	8.4	0.62	0.061	650	40.4	0	21.3	-9.2	0.12	0.58	0.068	5517	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.90	7.93	0.50	5468	78.3	20.5	40.3	0	21.4	-9.3	1	0	23.8	16	0	529026
 95.3875567	2024	9.4	0.61	0.063	650	40.5	0	21.3	-9.2	0.12	0.58	0.067	5517	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.92	7.93	0.50	5468	78.2	20.5	40.3	0	21.4	-9.3	1	0	23.8	16	0	529226
 95.3875683	2024	10.4	0.62	0.066	649	40.5	0	21.3	-9.2	0.12	0.58	0.064	5518	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.91	7.93	0.50	5468	78.2	20.5	40.3	0	21.4	-9.3	1	0	23.8	16	0	529426
 95.3875799	2024	11.4	0.61	0.070	649	40.5	0	21.3	-9.2	0.12	0.58	0.062	5520	82.6	20.8	40.1	160	20.8	-9.3	1	1	2.52	7.92	7.93	0.50	5468	78.4	20.5	40.3	0	21.4	-9.3	1	0	23.8	16	0	529626
 95.3875914	2024	12.4	0.61	0.073	649	40.5	0	21.3	-9.2	0.12	0.58	0.058	5522	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.52	7.92	7.93	0.50	5468	78.6	20.5	40.2	0	21.4	-9.3	1	0	23.8	16	0	529826
 95.3876030	2024	13.4	0.61	0.075	649	40.6	0	21.3	-9.2	0.12	0.58	0.055	5524	82.6	20.8	40.2	0	20.8	-9.3	1	1	2.52	7.92	7.93	0.50	5468	78.9	20.6	40.2	0	21.4	-9.3	1	0	23.8	16	0	530026
 95.3876146	2024	14.4	0.60	0.073	649	40.6	0	21.3	-9.2	0.12	0.59	0.053	5524	82.6	20.8	40.3	0	20.8	-9.3	1	1	2.51	7.93	7.93	0.50	5470	79.6	20.8	40.2	0	21.5	-9.3	1	0	23.8	16	0	530226
 95.3876262	2024	15.4	0.60	0.068	650	40.6	0	21.3	-9.2	0.12	0.59	0.052	5526	82.6	20.8	40.3	0	20.9	-9.3	1	1	2.51	7.92	7.93	0.50	5470	80.0	20.6	40.2	0	21.5	-9.3	1	0	23.8	16	0	530426
 95.3876377	2024	16.4	0.61	0.068	650	40.6	0	21.3	-9.2	0.12	0.60	0.053	5526	82.7	20.8	40.4	0	20.9	-9.3	1	1	2.51	7.91	7.93	0.50	5472	80.0	20.5	40.2	0	21.5	-9.3	1	0	23.7	74	0	530627
 95.3876493	2024	17.4	0.61	0.068	650	40.6	0	21.3	-9.2	0.12	0.60	0.056	5526	82.7	20.8	40.4	0	20.9	-9.3	1	1	2.51	7.93	7.93	0.50	5472	80.1	20.5	40.2	0	21.5	-9.3	1	0	23.7	75	0	530826
 95.3876609	2024	18.4	0.60	0.065	650	40.6	0	21.3	-9.2	0.12	0.60	0.059	5526	82.7	20.8	40.5	0	20.9	-9.3	1	1	2.51	7.94	7.93	0.50	5473	80.0	20.5	40.1	160	21.5	-9.3	1	0	23.7	74	0	531027
 95.3876725	2024	19.4	0.60	0.061	650	40.6	0	21.3	-9.2	0.12	0.60	0.061	5526	82.7	20.8	40.5	0	20.9	-9.3	1	1	2.51	7.95	7.93	0.50	5473	79.7	20.5	40.1	160	21.5	-9.3	1	0	23.7	74	0	531227
