#DASH Flow Data
#--------------------------------------------------------
#BMI DASH SN:   0
#BMI SEMS SN:   0
#--------------------------------------------------------
#DOY.Frac	YYYY	Secs	DO_Sh	DO_Smp	DO_Press	DO_Ht_T	DO_Ht_Pwr	DO_Fl_T	DO_X_T	HO_Sh_D_Fl	HO_Sh	HO_Smp	HO_Press	HO_RH	HO_T	HO_Ht_T	HO_Ht_Pwr	HO_Fl_T	HO_X_T	HO_DP_Cl	HO_DP_Lk	HM_Sh_D_Fl	HM_Sh	HM_Xs	HM_Smp_Xs	HM_Press	HM_RH	HM_T	HM_Ht_T	HM_Ht_Pwr	HM_Fl_T	HM_X_T	HM_DP_Cl	HM_DP_Lk	H2O_T	H2O_Pwr	H2O_Lvl	H2O_Cnt
 95.3764873	2024	1.9	-0.02	-0.001	663	40.5	0	20.0	-9.2	0.01	0.00	0.000	5680	79.0	19.5	40.6	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	91.2	19.2	40.3	0	20.1	-9.3	1	0	23.8	0	0	338026
 95.3764988	2024	2.9	-0.02	-0.001	663	40.4	0	20.0	-9.2	0.01	0.00	0.000	5680	79.0	19.5	40.6	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5677	91.1	19.2	40.3	0	20.1	-9.3	1	0	23.8	0	0	338227
 95.3765104	2024	3.9	-0.02	-0.001	664	40.4	0	20.0	-9.2	0.01	0.00	0.000	5680	79.0	19.5	40.6	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	90.9	19.1	40.3	0	20.1	-9.3	1	0	23.8	0	0	338426
 95.3765220	2024	4.9	-0.02	-0.001	664	40.4	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.6	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	90.0	19.1	40.3	0	20.1	-9.3	1	0	23.8	0	0	338627
 95.3765336	2024	5.9	-0.02	-0.001	663	40.4	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.6	0	19.5	-9.2	1	1	0.00	0.01	-0.03	0.00	5679	88.6	19.1	40.3	0	20.1	-9.3	1	0	23.8	0	0	338826
 95.3765451	2024	6.9	-0.02	-0.001	663	40.4	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.5	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	86.9	19.1	40.2	0	20.1	-9.3	1	0	23.8	0	0	339026
 95.3765567	2024	7.9	-0.02	-0.001	663	40.3	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.5	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5677	85.0	19.1	40.2	0	20.1	-9.3	1	0	23.8	0	0	339227
 95.3765683	2024	8.9	-0.02	-0.001	664	40.3	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.5	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	83.5	19.1	40.2	0	20.1	-9.3	1	0	23.8	0	0	339427
 95.3765799	2024	9.9	-0.02	-0.001	663	40.3	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.5	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	82.8	19.1	40.2	0	20.1	-9.3	1	0	23.8	0	0	339626
 95.3765914	2024	10.9	-0.02	-0.001	664	40.3	0	20.0	-9.2	0.01	0.00	0.000	5680	78.9	19.5	40.5	0	19.5	-9.3	1	1	0.00	0.01	-0.03	0.00	5679	82.4	19.2	40.2	0	20.1	-9.3	1	0	23.8	0	0	339826
